web-scraper-order,web-scraper-start-url,função / subfunção,Dotação Orçamentária,Valor Empenhado,%(B/A)%,Valor Liquidado,Valor Pago
"1676497004-968","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2019&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ENERGIA ELETRICA","83.787.816,00","83.725.636,69","99,93","78.031.242,43","78.031.242,43"
"1676497004-969","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2019&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DESPORTO E LAZER","43.751.001,00","33.911.125,71","77,51","26.897.278,26","25.163.481,98"
"1676497004-970","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2019&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","INFRA-ESTRUTURA URBANA","35.669.596,00","26.390.209,66","73,99","19.785.082,55","18.158.419,54"
"1676497004-971","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2019&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DESPORTO COMUNITARIO","6.685.405,00","6.436.345,76","96,27","6.366.784,44","6.314.613,45"
"1676497004-972","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2019&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","LAZER","1.396.000,00","1.084.570,29","77,69","745.411,27","690.448,99"
"1676497004-973","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2019&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ENCARGOS ESPECIAIS","331.719.423,00","310.925.442,25","93,73","305.630.246,70","304.010.952,67"
"1676497004-974","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2019&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SERVICO DA DIVIDA INTERNA","88.446.000,00","79.886.867,94","90,32","78.247.756,45","78.247.756,45"
"1676497004-975","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2019&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SERVICO DA DIVIDA EXTERNA","109.000.037,00","103.294.917,09","94,77","103.294.917,09","103.294.917,09"
"1676497004-976","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2019&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","OUTROS ENCARGOS ESPECIAIS","134.273.386,00","127.743.657,22","95,14","124.087.573,16","122.468.279,13"
"1676497004-977","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2019&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","RESERVA DE CONTINGENCIA","347.000,00","0,00","0,00","0,00","0,00"
"1676497004-978","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2019&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","RESERVA DE CONTINGENCIA","347.000,00","0,00","0,00","0,00","0,00"
"1676497007-979","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","LEGISLATIVA","188.211.749,00","163.445.839,80","86,84","161.501.658,58","160.204.333,50"
"1676497007-980","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ACAO LEGISLATIVA","188.211.749,00","163.445.839,80","86,84","161.501.658,58","160.204.333,50"
"1676497007-981","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","JUDICIARIA","43.103.556,00","41.326.752,09","95,88","41.247.559,61","41.182.004,90"
"1676497007-982","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","REPRESENTACAO JUDICIAL E EXTRAJUDICIAL","1.330.000,00","330.000,00","24,81","255.000,00","255.000,00"
"1676497007-983","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","41.772.556,00","40.996.520,09","98,14","40.992.327,61","40.926.772,90"
"1676497007-984","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","1.000,00","232,00","23,20","232,00","232,00"
"1676497007-985","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ESSENCIAL A JUSTICA","643.000,00","244.025,91","37,95","241.575,91","240.735,91"
"1676497007-986","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","FORMACAO DE RECURSOS HUMANOS","643.000,00","244.025,91","37,95","241.575,91","240.735,91"
"1676497007-987","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO","751.709.895,00","696.650.623,05","92,68","690.485.485,83","685.531.759,25"
"1676497007-988","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","PLANEJAMENTO E ORCAMENTO","451.500,00","447.610,00","99,14","447.610,00","406.483,60"
"1676497007-989","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","716.178.681,00","681.414.217,59","95,15","676.643.596,33","671.911.489,23"
"1676497007-990","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","CONTROLE INTERNO","0,00","0,00","0,00","0,00","0,00"
"1676497007-991","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","NORMALIZACAO E FISCALIZACAO","2.348.000,00","1.197.795,35","51,01","1.197.795,35","1.197.795,35"
"1676497007-992","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","24.528.262,00","9.785.776,92","39,90","8.496.239,87","8.351.210,87"
"1676497007-993","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","FORMACAO DE RECURSOS HUMANOS","3.934.288,00","957.128,09","24,33","955.528,09","943.088,09"
"1676497007-994","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO DE RECEITAS","2.532.000,00","1.397.689,81","55,20","1.358.390,05","1.355.790,05"
"1676497007-995","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","EMPREGABILIDADE","1.737.164,00","1.450.405,29","83,49","1.386.326,14","1.365.902,06"
"1676497007-996","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SEGURANCA PUBLICA","277.573.220,00","248.419.274,30","89,50","244.126.376,25","243.845.581,11"
"1676497007-997","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","152.123.677,00","150.535.768,78","98,96","150.309.656,24","150.247.662,96"
"1676497007-998","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","67.100,00","67.049,70","99,93","67.049,70","67.049,70"
"1676497007-999","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","FORMACAO DE RECURSOS HUMANOS","16.000,00","0,00","0,00","0,00","0,00"
"1676497007-1000","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","POLICIAMENTO","121.012.860,00","94.422.055,01","78,03","90.670.023,35","90.497.679,18"
"1676497007-1001","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DEFESA CIVIL","771.400,00","530.016,93","68,71","410.270,06","363.812,37"
"1676497007-1002","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","INFORMACAO E INTELIGENCIA","0,00","0,00","0,00","0,00","0,00"
"1676497007-1003","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS","615.000,00","427.888,98","69,58","232.882,00","232.882,00"
"1676497007-1004","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","INFRA-ESTRUTURA URBANA","2.967.183,00","2.436.494,90","82,11","2.436.494,90","2.436.494,90"
"1676497007-1005","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA SOCIAL","130.304.627,00","84.897.970,56","65,15","84.049.115,96","83.381.410,74"
"1676497007-1006","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","CONTROLE EXTERNO","0,00","0,00","0,00","0,00","0,00"
"1676497007-1007","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","35.380.034,00","30.944.614,44","87,46","30.668.045,44","30.389.610,75"
"1676497007-1008","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","547.000,00","0,00","0,00","0,00","0,00"
"1676497007-1009","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","FORMACAO DE RECURSOS HUMANOS","0,00","0,00","0,00","0,00","0,00"
"1676497007-1010","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA AO IDOSO","25.350,00","8.832,00","34,84","8.832,00","8.832,00"
"1676497007-1011","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA A CRIANCA E AO ADOLESCENTE","34.074.451,00","23.664.805,01","69,45","23.606.095,07","23.471.392,70"
"1676497007-1012","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA COMUNITARIA","46.047.892,00","27.203.348,48","59,08","26.699.767,14","26.445.198,98"
"1676497007-1013","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ALIMENTACAO E NUTRICAO","14.229.900,00","3.076.370,63","21,62","3.066.376,31","3.066.376,31"
"1676497007-1014","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","PREVIDENCIA SOCIAL","846.671.029,00","829.378.025,56","97,96","829.246.725,22","829.226.377,56"
"1676497007-1015","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","842.961.962,00","828.969.258,56","98,34","828.837.958,22","828.817.610,56"
"1676497007-1016","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","3.606.033,00","408.767,00","11,34","408.767,00","408.767,00"
"1676497007-1017","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","COMUNICACAO SOCIAL","20.000,00","0,00","0,00","0,00","0,00"
"1676497007-1018","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","PROTECAO E BENEFICIOS AO TRABALHADOR","83.034,00","0,00","0,00","0,00","0,00"
"1676497007-1019","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SAUDE","2.264.097.550,00","2.107.298.158,71","93,07","2.080.422.855,17","2.068.346.437,88"
"1676497007-1020","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","340.675.252,00","321.952.165,37","94,50","320.366.072,65","317.462.952,64"
"1676497007-1021","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","5.350.917,00","4.090.172,46","76,44","4.090.172,46","4.090.172,46"
"1676497007-1022","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","FORMACAO DE RECURSOS HUMANOS","678.696,00","5.000,00","0,74","5.000,00","5.000,00"
"1676497007-1023","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA A CRIANCA E AO ADOLESCENTE","0,00","0,00","0,00","0,00","0,00"
"1676497007-1024","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ATENCAO BASICA","446.391.999,00","428.367.636,17","95,96","426.863.765,12","426.753.150,60"
"1676497007-1025","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA HOSPITALAR E AMBULATORIAL","1.367.267.113,00","1.256.897.721,89","91,93","1.235.013.777,44","1.226.227.128,30"
"1676497007-1026","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SUPORTE PROFILATICO E TERAPEUTICO","40.761.732,00","39.635.001,42","97,24","39.590.319,50","39.497.919,50"
"1676497007-1027","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","VIGILANCIA SANITARIA","52.087.740,00","49.150.998,26","94,36","48.995.861,43","48.995.861,43"
"1676497007-1028","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","VIGILANCIA EPIDEMIOLOGICA","1.730.960,00","1.397.895,09","80,76","1.308.690,09","1.308.690,09"
"1676497007-1029","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ALIMENTACAO E NUTRICAO","2.000,00","0,00","0,00","0,00","0,00"
"1676497007-1030","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","INFRA-ESTRUTURA URBANA","2.994.000,00","0,00","0,00","0,00","0,00"
"1676497007-1031","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","OUTROS ENCARGOS ESPECIAIS","6.157.141,00","5.801.568,05","94,23","4.189.196,48","4.005.562,86"
"1676497007-1032","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TRABALHO","7.671.066,00","1.150.154,78","14,99","1.139.636,98","1.118.063,34"
"1676497007-1033","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","EMPREGABILIDADE","7.671.066,00","1.150.154,78","14,99","1.139.636,98","1.118.063,34"
"1676497007-1034","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","EDUCACAO","1.651.030.558,00","1.441.677.851,22","87,32","1.433.482.014,41","1.428.050.824,42"
"1676497007-1035","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","99.496.524,00","90.572.673,22","91,03","89.868.895,98","89.789.000,59"
"1676497007-1036","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","246.285,00","136.060,00","55,24","136.060,00","136.060,00"
"1676497007-1037","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","FORMACAO DE RECURSOS HUMANOS","2.000,00","0,00","0,00","0,00","0,00"
"1676497007-1038","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ENSINO FUNDAMENTAL","1.175.695.529,00","1.056.435.170,35","89,86","1.053.274.555,13","1.049.818.974,11"
"1676497007-1039","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ENSINO MEDIO","339.000,00","314.220,00","92,69","314.220,00","314.220,00"
"1676497007-1040","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ENSINO PROFISSIONAL","98.000,00","11.040,00","11,27","11.040,00","11.040,00"
"1676497007-1041","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ENSINO SUPERIOR","0,00","0,00","0,00","0,00","0,00"
"1676497007-1042","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","EDUCACAO INFANTIL","224.903.360,00","162.209.620,58","72,12","160.670.406,13","159.668.370,26"
"1676497007-1043","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","EDUCACAO DE JOVENS E ADULTOS","1.238.000,00","1.062.716,06","85,84","1.061.015,80","1.061.015,80"
"1676497007-1044","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","EDUCACAO ESPECIAL","189.500,00","75.900,90","40,05","75.900,90","75.900,90"
"1676497007-1045","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","EDUCACAO BASICA","145.607.615,00","130.800.169,04","89,83","128.009.639,40","127.115.961,69"
"1676497007-1046","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","INFRA-ESTRUTURA URBANA","1.197.000,00","0,00","0,00","0,00","0,00"
"1676497007-1047","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","PRESERVACAO E CONSERVACAO AMBIENTAL","1.000,00","0,00","0,00","0,00","0,00"
"1676497007-1048","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","OUTROS ENCARGOS ESPECIAIS","2.016.745,00","60.281,07","2,99","60.281,07","60.281,07"
"1676497007-1049","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2018&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","CULTURA","84.024.373,00","60.060.690,19","71,48","58.453.363,52","58.239.392,83"
